s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0400,0.1800,0.000000,1.013220,1.014220,1.000000,1.035943,0.991160,1.021268
0.0400,0.1900,0.000000,1.011999,1.013076,1.000000,1.033429,0.987219,1.019858
0.0400,0.2000,0.000000,1.012556,1.013692,1.000000,1.034550,0.987882,1.020386
0.0400,0.2100,0.000000,1.013123,1.014320,1.000000,1.035703,0.988603,1.020939
0.0400,0.2200,0.000000,1.012417,1.013597,1.000000,1.034021,0.987169,1.019974
0.0400,0.2300,0.000000,1.012948,1.014190,1.000000,1.035090,0.987833,1.020478
0.0400,0.2400,0.000000,1.013425,1.014730,1.000000,1.036068,0.988354,1.020944
0.0400,0.2500,0.000000,1.012605,1.013896,1.000000,1.034174,0.986497,1.019865
0.0400,0.2600,0.000000,1.012948,1.014298,1.000000,1.034834,0.986745,1.020149
0.0400,0.2700,0.000000,1.013350,1.014765,1.000000,1.035644,0.987117,1.020521
0.0400,0.2800,0.000000,1.013757,1.015242,1.000000,1.036471,0.987508,1.020904
0.0400,0.2900,0.000000,1.014084,1.015639,1.000000,1.037144,0.987728,1.021211
0.0400,0.3000,0.000000,1.014304,1.015927,1.000000,1.037588,0.987666,1.021396
0.0400,0.3100,0.000000,1.014517,1.016190,1.000000,1.037934,0.987969,1.021519
0.0400,0.3200,0.000000,1.014638,1.016376,1.000000,1.038149,0.987777,1.021576
0.0400,0.3300,0.000000,1.014804,1.016607,1.000000,1.038457,0.987763,1.021687
0.0400,0.3400,0.000000,1.014958,1.016834,1.000000,1.038771,0.987619,1.021803
0.0400,0.3500,0.000000,1.015006,1.016947,1.000000,1.038820,0.987348,1.021770
0.0400,0.3600,0.000000,1.016115,1.018229,1.000000,1.041331,0.988854,1.023105
0.0400,0.3700,0.000000,1.016112,1.018293,1.000000,1.041279,0.988522,1.023021
0.0400,0.3800,0.000000,1.016001,1.018246,1.000000,1.040983,0.987996,1.022800
0.0400,0.3900,0.000000,1.016933,1.019522,1.000000,1.043406,0.985792,1.023924
0.0400,0.4000,0.000000,1.032848,1.035443,1.000000,1.080501,1.026847,1.046631
0.0400,0.4100,0.000000,1.032144,1.034725,1.000000,1.078696,1.026248,1.045635
0.0400,0.4200,0.000000,1.033406,1.036235,1.000000,1.081983,1.027497,1.047600
0.0400,0.4300,0.000000,1.031690,1.034464,1.000000,1.077715,1.026090,1.045256
0.0400,0.4400,0.000000,1.026348,1.028602,1.000000,1.064210,1.021381,1.037488
0.0400,0.4500,0.000000,1.023348,1.025376,1.000000,1.056764,1.018863,1.033215
0.0400,0.4600,0.000000,1.021335,1.023050,1.000000,1.051382,1.016870,1.029869
0.0400,0.4700,0.000000,1.019800,1.021459,1.000000,1.047679,1.015682,1.027773
0.0400,0.4800,0.000000,1.017393,1.018863,1.000000,1.041785,1.013710,1.024343
0.0400,0.4900,0.000000,1.015114,1.016394,1.000000,1.036217,1.011848,1.021083
0.0400,0.5000,0.000000,1.014287,1.015452,1.000000,1.034293,1.011192,1.019960
0.0500,0.0000,0.000000,1.012125,1.012929,1.000000,1.034699,0.990595,1.021184
0.0500,0.0100,0.000000,1.011612,1.012400,1.000000,1.033559,0.989729,1.020571
0.0500,0.0200,0.000000,1.011089,1.011860,1.000000,1.032419,0.988848,1.019969
0.0500,0.0300,0.000000,1.012016,1.012849,1.000000,1.034368,0.990102,1.020943
0.0500,0.0400,0.000000,1.011528,1.012247,1.000000,1.033999,0.990867,1.021147
0.0500,0.0500,0.000000,1.011943,1.012891,1.000000,1.033465,0.989805,1.020105
0.0500,0.0600,0.000000,1.011100,1.011955,1.000000,1.031940,0.987892,1.019426
0.0500,0.0700,0.000000,1.012473,1.013320,1.000000,1.034540,0.991217,1.020709
0.0500,0.0800,0.000000,1.011456,1.012387,1.000000,1.032597,0.987547,1.019658
0.0500,0.0900,0.000000,1.012763,1.013672,1.000000,1.035062,0.991040,1.020894
0.0500,0.1000,0.000000,1.011804,1.012793,1.000000,1.033161,0.987687,1.019836
0.0500,0.1100,0.000000,1.013076,1.014043,1.000000,1.035628,0.991104,1.021107
0.0500,0.1200,0.000000,1.012672,1.013522,1.000000,1.035325,0.991673,1.021279
0.0500,0.1300,0.000000,1.011567,1.012490,1.000000,1.033185,0.988099,1.020134
0.0500,0.1400,0.000000,1.012840,1.013740,1.000000,1.035543,0.991461,1.021296
0.0500,0.1500,0.000000,1.011645,1.012618,1.000000,1.033180,0.987629,1.020016
0.0500,0.1600,0.000000,1.012869,1.013815,1.000000,1.035453,0.990996,1.021148
0.0500,0.1700,0.000000,1.013350,1.014341,1.000000,1.036344,0.991623,1.021545
0.0500,0.1800,0.000000,1.012162,1.013231,1.000000,1.033897,0.987792,1.020169
0.0500,0.1900,0.000000,1.012775,1.013906,1.000000,1.035154,0.988528,1.020773
0.0500,0.2000,0.000000,1.012113,1.013230,1.000000,1.033590,0.987160,1.019880
0.0500,0.2100,0.000000,1.012675,1.013853,1.000000,1.034717,0.987867,1.020411
0.0500,0.2200,0.000000,1.013220,1.014460,1.000000,1.035825,0.988551,1.020941
0.0500,0.2300,0.000000,1.012509,1.013732,1.000000,1.034131,0.987111,1.019967
0.0500,0.2400,0.000000,1.012977,1.014260,1.000000,1.035069,0.987621,1.020404
0.0500,0.2500,0.000000,1.014001,1.015244,1.000000,1.037089,0.990837,1.021507
0.0500,0.2600,0.000000,1.014297,1.015601,1.000000,1.037727,0.990850,1.021808
0.0500,0.2700,0.000000,1.012922,1.014313,1.000000,1.034685,0.986456,1.020003
0.0500,0.2800,0.000000,1.013331,1.014791,1.000000,1.035500,0.986856,1.020373
0.0500,0.2900,0.000000,1.013669,1.015198,1.000000,1.036186,0.987081,1.020681
0.0500,0.3000,0.000000,1.013894,1.015489,1.000000,1.036618,0.987040,1.020849
0.0500,0.3100,0.000000,1.014076,1.015739,1.000000,1.036966,0.986918,1.020975
0.0500,0.3200,0.000000,1.014245,1.015955,1.000000,1.037222,0.987157,1.021053
0.0500,0.3300,0.000000,1.014416,1.016192,1.000000,1.037551,0.987158,1.021178
0.0500,0.3400,0.000000,1.014572,1.016415,1.000000,1.037830,0.987127,1.021268
0.0500,0.3500,0.000000,1.014635,1.016548,1.000000,1.037935,0.986757,1.021264
0.0500,0.3600,0.000000,1.015663,1.017741,1.000000,1.040284,0.988140,1.022522
0.0500,0.3700,0.000000,1.015735,1.017884,1.000000,1.040387,0.988009,1.022520
0.0500,0.3800,0.000000,1.015635,1.017848,1.000000,1.040125,0.987451,1.022319
