s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0300,0.2900,0.000000,1.369905,0.787586,1.000000,0.062535,0.000000,0.000000
0.0300,0.3000,0.000000,1.360020,0.793375,1.000000,0.060859,0.000000,0.000000
0.0300,0.3100,0.000000,1.348465,0.799789,1.000000,0.059535,0.000000,0.000000
0.0300,0.3200,0.000000,1.334465,0.807206,1.000000,0.058370,0.000000,0.000000
0.0300,0.3300,0.000000,1.321257,0.814555,1.000000,0.056971,0.000007,0.000000
0.0300,0.3400,0.000000,1.307066,0.822278,1.000000,0.055652,0.000000,0.000000
0.0300,0.3500,0.000000,1.289139,0.831532,1.000000,0.054828,0.000000,0.000000
0.0300,0.3600,0.000000,1.282577,0.836480,1.000000,0.051171,0.000000,0.000000
0.0300,0.3700,0.000000,1.263120,0.846587,1.000000,0.050393,0.000000,0.000000
0.0300,0.3800,0.000000,1.233597,0.860767,1.000000,0.050349,0.000000,0.000000
0.0300,0.3900,0.000000,1.221237,0.868497,1.000000,0.047508,0.000000,0.000000
0.0300,0.4000,0.000000,1.196589,0.880943,1.000000,0.047177,0.000000,0.000000
0.0300,0.4100,0.000000,1.179128,0.890672,1.000000,0.045037,0.000000,0.000000
0.0300,0.4200,0.000000,1.167060,0.897540,1.000000,0.043404,0.000000,0.000000
0.0300,0.4300,0.000000,1.182662,0.890670,1.000000,0.042782,0.000000,0.000000
0.0300,0.4400,0.000000,1.184864,0.889293,1.000000,0.044587,0.000000,0.000000
0.0300,0.4500,0.000000,1.194739,0.885137,1.000000,0.044320,0.000000,0.000000
0.0300,0.4600,0.000000,1.201095,0.882497,1.000000,0.044461,0.000000,0.000000
0.0300,0.4700,0.000000,1.212320,0.878124,1.000000,0.042872,0.000000,0.000000
0.0300,0.4800,0.000000,1.213298,0.877911,1.000000,0.043282,0.000000,0.000000
0.0300,0.4900,0.000000,1.210534,0.879523,1.000000,0.044228,0.000000,0.000000
0.0300,0.5000,0.000000,1.233472,0.867419,1.000000,0.047426,0.000000,0.000000
0.0400,0.0000,0.000000,1.476470,0.717627,1.000000,0.097357,0.000000,0.000000
0.0400,0.0100,0.000000,1.495289,0.710616,1.000000,0.092712,0.000000,0.000000
0.0400,0.0200,0.000000,1.495526,0.710327,1.000000,0.093146,0.000000,0.000000
0.0400,0.0300,0.000000,1.473732,0.715675,1.000000,0.104028,0.000000,0.000000
0.0400,0.0400,0.000000,1.499598,0.708365,1.000000,0.092910,0.000000,0.000000
0.0400,0.0500,0.000000,1.521652,0.700877,1.000000,0.085913,0.000000,0.000000
0.0400,0.0600,0.000000,1.522503,0.700602,1.000000,0.085751,0.000000,0.000000
0.0400,0.0700,0.000000,1.519465,0.701847,1.000000,0.086326,0.000000,0.000000
0.0400,0.0800,0.000000,1.515462,0.703486,1.000000,0.087210,0.000000,0.000000
0.0400,0.0900,0.000000,1.528909,0.699009,1.000000,0.082519,0.000000,0.000000
0.0400,0.1000,0.000000,1.523631,0.701237,1.000000,0.083513,0.000000,0.000000
0.0400,0.1100,0.000000,1.536034,0.697203,1.000000,0.078902,0.000000,0.000000
0.0400,0.1200,0.000000,1.530360,0.699790,1.000000,0.079640,0.000000,0.000000
0.0400,0.1300,0.000000,1.461938,0.729249,1.000000,0.087889,0.000000,0.000000
0.0400,0.1400,0.000000,1.453924,0.732744,1.000000,0.089143,0.000000,0.000000
0.0400,0.1500,0.000000,1.445012,0.736593,1.000000,0.090479,0.000000,0.000000
0.0400,0.1600,0.000000,1.444443,0.738395,1.000000,0.087216,0.000000,0.000000
0.0400,0.1700,0.000000,1.451134,0.736908,1.000000,0.083349,0.000000,0.000000
0.0400,0.1800,0.000000,1.439471,0.741914,1.000000,0.084717,0.000000,0.000000
0.0400,0.1900,0.000000,1.444998,0.741135,1.000000,0.081109,0.000000,0.000000
0.0400,0.2000,0.000000,1.448864,0.740838,1.000000,0.077723,0.000000,0.000000
0.0400,0.2100,0.000000,1.451914,0.740885,1.000000,0.074483,0.000003,0.000000
0.0400,0.2200,0.000000,1.427867,0.750778,1.000000,0.076519,0.000000,0.000000
0.0400,0.2300,0.000000,1.429162,0.751645,1.000000,0.073423,0.000000,0.000000
0.0400,0.2400,0.000000,1.428778,0.753326,1.000000,0.070627,0.000000,0.000000
0.0400,0.2500,0.000000,1.411721,0.761798,1.000000,0.072402,0.000000,0.000000
0.0400,0.2600,0.000000,1.407662,0.764980,1.000000,0.070067,0.000000,0.000000
0.0400,0.2700,0.000000,1.403849,0.768191,1.000000,0.067577,0.000000,0.000000
0.0400,0.2800,0.000000,1.399077,0.771785,1.000000,0.065150,0.000000,0.000000
0.0400,0.2900,0.000000,1.392046,0.776408,1.000000,0.063023,0.000000,0.000000
0.0400,0.3000,0.000000,1.382129,0.782009,1.000000,0.061309,0.000000,0.000000
0.0400,0.3100,0.000000,1.371284,0.788194,1.000000,0.059900,0.000000,0.000000
0.0400,0.3200,0.000000,1.358755,0.795129,1.000000,0.058572,0.000000,0.000000
0.0400,0.3300,0.000000,1.345083,0.802374,1.000000,0.057226,0.000000,0.000000
0.0400,0.3400,0.000000,1.331557,0.809940,1.000000,0.055863,0.000000,0.000000
0.0400,0.3500,0.000000,1.315255,0.818629,1.000000,0.054828,0.000000,0.000000
0.0400,0.3600,0.000000,1.308312,0.823707,1.000000,0.051251,0.000000,0.000000
0.0400,0.3700,0.000000,1.289128,0.833576,1.000000,0.050455,0.000000,0.000000
0.0400,0.3800,0.000000,1.267920,0.844456,1.000000,0.049902,0.000000,0.000000
0.0400,0.3900,0.000000,1.254337,0.852279,1.000000,0.047204,0.000000,0.000000
0.0400,0.4000,0.000000,1.234027,0.863090,1.000000,0.044877,0.000000,0.000000
0.0400,0.4100,0.000000,1.207422,0.876731,1.000000,0.044915,0.000000,0.000000
0.0400,0.4200,0.000000,1.188134,0.887076,1.000000,0.042985,0.000000,0.000000
0.0400,0.4300,0.000000,1.190271,0.886917,1.000000,0.041836,0.000000,0.000000
0.0400,0.4400,0.000000,1.194063,0.884922,1.000000,0.043577,0.000000,0.000000
0.0400,0.4500,0.000000,1.205019,0.880191,1.000000,0.043317,0.000003,0.000000
0.0400,0.4600,0.000000,1.212071,0.877096,1.000000,0.043463,0.000000,0.000000
0.0400,0.4700,0.000000,1.224310,0.872200,1.000000,0.041912,0.000000,0.000000
0.0400,0.4800,0.000000,1.226621,0.871481,1.000000,0.042309,0.000000,0.000000
0.0400,0.4900,0.000000,1.224740,0.872582,1.000000,0.043242,0.000000,0.000000
0.0400,0.5000,0.000000,1.248237,0.860185,1.000000,0.046344,0.000000,0.000000
0.0500,0.0000,0.000000,1.507786,0.705016,1.000000,0.091384,0.000000,0.000000
0.0500,0.0100,0.000000,1.504857,0.705644,1.000000,0.093190,0.000000,0.000000
0.0500,0.0200,0.000000,1.500748,0.706674,1.000000,0.095290,0.000000,0.000000
0.0500,0.0300,0.000000,1.521485,0.699117,1.000000,0.089529,0.000000,0.000000
0.0500,0.0400,0.000000,1.501795,0.703731,1.000000,0.100184,0.000000,0.000000
0.0500,0.0500,0.000000,1.511861,0.700304,1.000000,0.096934,0.000000,0.000000
0.0500,0.0600,0.000000,1.528104,0.696582,1.000000,0.088215,0.000000,0.000000
0.0500,0.0700,0.000000,1.527631,0.696813,1.000000,0.088356,0.000000,0.000000
0.0500,0.0800,0.000000,1.542819,0.691603,1.000000,0.083270,0.000000,0.000000
0.0500,0.0900,0.000000,1.538682,0.693329,1.000000,0.084156,0.000000,0.000000
0.0500,0.1000,0.000000,1.553228,0.688487,1.000000,0.079372,0.000000,0.000000
0.0500,0.1100,0.000000,1.547150,0.690907,1.000000,0.080378,0.000000,0.000000
0.0500,0.1200,0.000000,1.542104,0.693209,1.000000,0.081084,0.000000,0.000000
0.0500,0.1300,0.000000,1.474450,0.722312,1.000000,0.089281,0.000000,0.000000
0.0500,0.1400,0.000000,1.467047,0.725532,1.000000,0.090511,0.000000,0.000000
0.0500,0.1500,0.000000,1.475998,0.722972,1.000000,0.086424,0.000000,0.000000
0.0500,0.1600,0.000000,1.466959,0.726963,1.000000,0.087756,0.000000,0.000000
0.0500,0.1700,0.000000,1.465909,0.728918,1.000000,0.084599,0.000000,0.000000
0.0500,0.1800,0.000000,1.472555,0.727481,1.000000,0.080761,0.000000,0.000000
0.0500,0.1900,0.000000,1.478160,0.726412,1.000000,0.077130,0.000000,0.000000
0.0500,0.2000,0.000000,1.465665,0.732015,1.000000,0.078632,0.000000,0.000000
0.0500,0.2100,0.000000,1.469239,0.731834,1.000000,0.075303,0.000000,0.000000
0.0500,0.2200,0.000000,1.471577,0.732161,1.000000,0.072201,0.000000,0.000000
0.0500,0.2300,0.000000,1.456821,0.738847,1.000000,0.073796,0.000001,0.000000
0.0500,0.2400,0.000000,1.456764,0.740248,1.000000,0.070968,0.000000,0.000000
0.0500,0.2500,0.000000,1.431250,0.751070,1.000000,0.072993,0.000000,0.000000
0.0500,0.2600,0.000000,1.427398,0.754398,1.000000,0.070722,0.000000,0.000000
0.0500,0.2700,0.000000,1.423664,0.757540,1.000000,0.068263,0.000000,0.000000
0.0500,0.2800,0.000000,1.419658,0.760980,1.000000,0.065770,0.000000,0.000000
0.0500,0.2900,0.000000,1.413569,0.765198,1.000000,0.063574,0.000000,0.000000
0.0500,0.3000,0.000000,1.404686,0.770662,1.000000,0.061783,0.000000,0.000000
0.0500,0.3100,0.000000,1.394406,0.776614,1.000000,0.060177,0.000000,0.000000
0.0500,0.3200,0.000000,1.381872,0.783268,1.000000,0.058926,0.000000,0.000000
0.0500,0.3300,0.000000,1.369480,0.790263,1.000000,0.057505,0.000000,0.000000
0.0500,0.3400,0.000000,1.355981,0.797728,1.000000,0.056122,0.000000,0.000000
0.0500,0.3500,0.000000,1.340163,0.806065,1.000000,0.055028,0.000000,0.000000
0.0500,0.3600,0.000000,1.332743,0.811350,1.000000,0.051551,0.000001,0.000000
0.0500,0.3700,0.000000,1.315291,0.820596,1.000000,0.050526,0.000000,0.000000
0.0500,0.3800,0.000000,1.294365,0.831210,1.000000,0.049956,0.000000,0.000000
0.0500,0.3900,0.000000,1.281796,0.838751,1.000000,0.047179,0.000000,0.000000
0.0500,0.4000,0.000000,1.268283,0.846692,1.000000,0.044520,0.000000,0.000000
0.0500,0.4100,0.000000,1.235077,0.862723,1.000000,0.044826,0.000000,0.000000
0.0500,0.4200,0.000000,1.216835,0.872892,1.000000,0.042834,0.000000,0.000000
0.0500,0.4300,0.000000,1.197251,0.883441,1.000000,0.040900,0.000000,0.000000
0.0500,0.4400,0.000000,1.202261,0.880886,1.000000,0.042588,0.000000,0.000000
0.0500,0.4500,0.000000,1.214398,0.875587,1.000000,0.042327,0.000000,0.000000
0.0500,0.4600,0.000000,1.222913,0.871862,1.000000,0.042461,0.000000,0.000000
0.0500,0.4700,0.000000,1.236241,0.866433,1.000000,0.040945,0.000001,0.000000
0.0500,0.4800,0.000000,1.239173,0.865227,1.000000,0.041346,0.000000,0.000000
0.0500,0.4900,0.000000,1.238334,0.865893,1.000000,0.042265,0.000000,0.000000
0.0500,0.5000,0.000000,1.254898,0.856089,1.000000,0.047338,0.000000,0.000000
0.0600,0.0000,0.000000,1.514208,0.701167,1.000000,0.092680,0.000000,0.000000
